NOME CIRC;COSTO BOOLEANO;INPUT ALICE;INPUT BOB;DOMINIO MULTIVALORE;COSTO MULTIVALORE;INPUT ALICE;INPUT BOB
tial;51456;7;7;4;65536;3;4
sqr6;705;3;3;8;256;1;1
m2;4096;4;4;16;1024;1;1
m3;4096;4;4;16;1024;1;1
alu3;6144;5;5;4;4096;2;3
br2;32768;6;6;16;8192;1;2
m1;768;3;3;8;256;1;1
l8err;1028;4;4;16;512;1;1
p3;3584;4;4;4;1792;2;2
pdc;2621440;8;8;256;327680;1;1
m4;4096;4;4;16;1024;1;1
alu2;6144;5;5;4;4096;2;3
in7;45329;9;9;4;335544320;6;7
t4;8704;6;6;16;8192;1;2
newtpla2;2560;5;5;4;2048;2;3
fout;640;3;3;4;320;1;2
t3;16672;6;6;16;8192;1;2
tms;3856;4;4;16;1024;1;1
mp2d;10880;7;7;128;32768;1;1
br1;32768;6;6;16;8192;1;2
in5;248452;9;9;4;117440512;6;6
amd;109696;7;7;4;196608;3;4
bench;512;3;3;4;256;1;2
f51m;2048;4;4;16;512;1;1
mlp4;2048;4;4;16;512;1;1
test1;2560;4;4;4;1280;2;2
alu1;120;6;6;16;8192;1;2
ex1010;10240;5;5;32;2048;1;1
bcd_div3;56;2;2;4;32;1;1
apla;11776;5;5;4;6144;2;3
newapla;6242;6;6;4;20480;3;3
newtpla1;1536;5;5;4;1024;2;3
